timestamp_ms,lat,lon,alt_m,heading_deg,groundspeed_mps,sysid
0,50.4497175,30.5241444,90.78,90.37,3.71,1
500,50.4497152,30.5241540,89.44,98.62,3.23,1
1000,50.4497176,30.5241850,89.61,109.79,3.62,1
1500,50.4497088,30.5242122,89.53,119.27,3.47,1
2000,50.4496990,30.5242290,89.97,130.20,3.46,1
2500,50.4496935,30.5242625,89.92,140.89,3.51,1
3000,50.4496717,30.5242668,89.89,149.03,3.55,1
3500,50.4496571,30.5242711,90.91,160.54,3.59,1
4000,50.4496489,30.5242695,90.10,169.60,3.32,1
4500,50.4496345,30.5242752,90.17,178.17,3.49,1
5000,50.4496157,30.5242824,89.95,190.58,3.41,1
5500,50.4496044,30.5242753,89.74,199.88,3.49,1
6000,50.4495820,30.5242631,90.60,212.21,3.41,1
6500,50.4495683,30.5242420,90.59,219.94,3.52,1
7000,50.4495596,30.5242264,90.11,229.01,3.33,1
7500,50.4495470,30.5242074,90.33,238.74,3.54,1
8000,50.4495442,30.5241864,89.76,252.68,3.25,1
8500,50.4495438,30.5241603,89.79,258.55,3.65,1
9000,50.4495351,30.5241450,89.52,269.48,3.52,1
9500,50.4495445,30.5241093,89.00,280.32,3.46,1
10000,50.4495524,30.5240924,90.00,287.39,3.42,1
10500,50.4495543,30.5240785,89.76,296.58,3.43,1
11000,50.4495661,30.5240475,89.21,306.98,3.51,1
11500,50.4495714,30.5240303,90.02,321.46,3.76,1
12000,50.4495945,30.5240174,89.78,328.88,3.48,1
12500,50.4496013,30.5240096,89.45,337.15,3.34,1
13000,50.4496129,30.5240112,90.15,348.82,3.55,1
13500,50.4496320,30.5239981,89.06,358.92,3.45,1
14000,50.4496500,30.5239983,90.35,10.15,3.44,1
14500,50.4496571,30.5240072,89.95,18.50,3.53,1
15000,50.4496776,30.5240066,90.10,31.36,3.28,1
15500,50.4496921,30.5240312,90.07,40.09,3.55,1
16000,50.4496990,30.5240421,88.90,50.17,3.64,1
16500,50.4497145,30.5240683,89.18,57.75,3.50,1
17000,50.4497150,30.5240961,89.55,71.36,3.60,1
17500,50.4497182,30.5241061,89.36,78.08,3.41,1
18000,50.4497169,30.5241487,89.28,90.45,3.71,1
18500,50.4497089,30.5241653,90.40,101.42,3.55,1
19000,50.4497135,30.5241855,91.08,111.32,3.63,1
19500,50.4497140,30.5242145,90.39,118.07,3.49,1
20000,50.4496991,30.5242334,89.83,128.33,3.50,1
20500,50.4496895,30.5242436,89.47,138.54,3.47,1
21000,50.4496710,30.5242580,90.72,152.19,3.53,1
21500,50.4496592,30.5242728,88.98,159.20,3.51,1
